id,streetAddress,city,county,price,yearBuilt,buildingArea,homeType,levels,Cluster
92801-305152459,2651 W Lincoln Ave #35,Anaheim,Orange County,0.007189473684210526,0.20172017201720172,0.0,1.0,0.75,4
92801-25662262,1800 W Gramercy Ave APT 33,Anaheim,Orange County,0.0009473684210526315,0.19641964196419642,0.0,0.5,0.5,4
92801-25665532,1844 W Falmouth Ave #5,Anaheim,Orange County,0.005262105263157894,0.19831983198319833,0.0,0.5,0.5,4
92865-325858742,2017 N Orange Olive Rd,Orange,Orange County,0.008842105263157894,0.20182018201820182,0.0,0.5,0.5,4
92801-79808948,305 N Santa Maria St,Anaheim,Orange County,0.005894736842105263,0.20052005200520054,0.0,0.5,0.5,4
92865-2069643805,402 E Meats Ave #A,Orange,Orange County,0.015789473684210527,0.19731973197319733,0.0004123005498848903,0.75,0.5,4
91801-20705844,307 N El Molino St,Alhambra,Los Angeles County,0.009736842105263158,0.19081908190819083,0.00026651654924304336,0.75,0.5,4
92603-25766864,44 Morning Breeze #18,Irvine,Orange County,0.013673684210526315,0.19841984198419843,0.0,0.5,0.25,4
93063-16466499,5368 Rain Wood St #65,Simi Valley,Ventura County,0.005526315789473684,0.19851985198519853,0.0,1.0,0.5,4
90006-250333867,1758 S New England St,Los Angeles,Los Angeles County,0.01263157894736842,0.19131913191319133,0.0004959525351131415,0.75,0.5,4
92612-122237921,31 Soho,Irvine,Orange County,0.009978947368421053,0.20132013201320131,0.0,1.0,0.75,4
92660-2078906182,59 Sea Pine Ln #51,Newport Beach,Orange County,0.009252631578947368,0.19761976197619763,0.0,0.5,0.25,4
90004-2096301880,207 S Berendo St,Los Angeles,Los Angeles County,0.04526315789473684,0.19241924192419244,0.0013331345403130284,0.75,0.5,4
